Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)"
27/09/2022;;12:00;0;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;939;0;0;14;18,5;14,7;24;182;0;939;9;PRI;9/27/2022 12:00:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;
28/09/2022;;;0;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,1;366;0;0;14;20;17,4;24,2;153;0;928;9;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;
29/09/2022;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,5;855;0;0;0;18,1;14,5;21,4;218;0;855;9;PRI;;0;0;0;1;1;1;0;0;-;-;-;-;;;;
30/09/2022;;;0,8;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,4;111;0;1;1;17,1;15;20,6;120;0;729;9;PRI;;0;0;0,8;1;1;1;0;0;-;-;1;1;;;;
01/10/2022;FINAL DE SEMANA;;3;4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,8;1004;0;3;4;17,7;16,3;22,8;156;0;1004;10;PRI;;0;0;1,6;1;1;1;0;0;-;-;1;1;;;;>0
02/10/2022;FINAL DE SEMANA;;0,4;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,1;946;0;0;5;19,6;15,8;24,4;240;0;965;10;PRI;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
03/10/2022;Retirada macrófitas da superfície da lagoa;;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,9;784;0;0;4;18,5;14,4;21,9;194;0;958;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
04/10/2022;Retirada macrófitas da superfície da lagoa;;0;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;550;0;0;0;17,8;15,9;22;211;0;1020;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
05/10/2022;;09:30;0;0;7;;;;6,7;219;;;;260;20,5;;;;20,2;3,4;;;;4,53;1,13;8,03;;;;9,84;0,19;;;0,49;2,53;;1,29;0,04;;0,12;0,88;;1,22;2,01;;14;;;;;;;530;;1070;67,2355;67,262;;;71,3025;71,356;17,8;18,6;0,8;0,51;;;21,7;510;0;0;0;17,5;16;21,7;140;0;611;10;PRI;10/05/2022 09:30;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
06/10/2022;;10:30;4,4;4,4;;;;;;340;;;;265;20,2;;;;20,2;1,53;;;;6,5;4,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,8;18,4;0,6;0,33;;;20;43;3;4;4;19,8;17,9;22,1;84;0;507;10;PRI;10/06/2022 10:30;0;0;1;1;1;1;0;0;-;-;1;1;;;;>0
07/10/2022;;09:00;10,6;18,8;;;;;;374;;;;252;19,9;;;;21,4;4,22;;;;3,66;-0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,8;18,6;0,8;0,51;;;21,3;440;0;11;19;20,3;18,1;24,3;120;0;746;10;PRI;10/07/2022 09:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
08/10/2022;FINAL DE SEMANA;;0,2;19;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,1;1011;0;0;19;17,6;12,1;24,1;267;0;1011;10;PRI;;0;0;0,2;1;1;1;0;0;-;-;1;1;;;;>0
09/10/2022;FINAL DE SEMANA;;0;14,6;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;667;0;0;15;20,6;17,3;24,6;254;0;1000;10;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
10/10/2022;Extravasamento;11:30;53,2;53,4;;;;;;168;;;;181;16;;;;16;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,2;36;11;53;53;15,1;12,5;20,2;163;0;993;10;PRI;10/10/2022 11:30;12,8;32;42,6;1;1;1;0;0;-;-;1;1;;;;>0
11/10/2022;;12:30;23,6;84,2;;;;;;372;;;;210;15,6;;;;16,6;5,99;;;;6,64;0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,8;406;0;24;84;15,6;13,4;19,8;51;0;406;10;PRI;10/11/2022 12:30;0;7,6;9,4;1;1;1;0;0;-;-;1;1;;;;>0
12/10/2022;;;4;88,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,3;462;0;4;88;20,4;18,6;23,3;95;0;462;10;PRI;;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
13/10/2022;;08:15;3,2;38,2;7,2;;;;6,9;289;;;;363;20,6;;;;20,4;3,88;;;;4,53;0,65;5,1;;;;5,75;;;;;2,19;;1,97;0,23;;0,27;2,38;;;2,4;;2,3;;;;;;;144;;190;64,3637;64,3709;;;57,4538;57,4633;17,5;19,2;1,7;1,58;;;21,3;418;0;3;38;19,4;18,3;23,1;140;0;808;10;PRI;10/13/2022 8:15:00;1;1;1;1;1;1;0;0;1;1;1;1;;;;>0
14/10/2022;;13:00;15,2;22,4;;;;;;203;;;;268;20;;;;20,6;4,96;;;;4,89;-0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;19,5;2;2,01;;;19,7;168;0;15;22;20,7;19,1;24,4;118;0;669;10;PRI;10/14/2022 13:00:00;0,4;2,2;8,2;1;1;1;0;0;-;-;1;1;;;;>0
15/10/2022;FINAL DE SEMANA;;8,8;27,6;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21,1;425;0;9;28;17,8;16;21,1;72;0;425;10;PRI;;0;0,6;6;1;1;1;0;0;-;-;1;1;;;;>0
16/10/2022;FINAL DE SEMANA;;21,8;46,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;127;1;22;46;19,6;18,3;21,4;80;0;506;10;PRI;;5,2;13,8;20;1;1;1;0;0;-;-;1;1;;;;>0
17/10/2022;;09:10;0,2;31,2;7,1;;;;7,3;504;;;;365;20,5;;;;20,6;2,83;;;;0,26;-2,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;19,4;1,9;1,86;;;21,9;985;0;0;31;20,3;18,1;22,4;175;0;985;10;PRI;10/17/2022 9:10:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
18/10/2022;Extravasamento Esgoto ;14:00;0;22;7,2;;;;7,5;647;;;;526;21,5;;;;21,6;1,81;;;;0,29;-1,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;23;5,5;8,99;;;22,6;315;0;0;22;20,8;19,4;22,6;169;0;943;10;PRI;10/18/2022 14:00:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
19/10/2022;;14:00;9,6;9,8;7,3;;;;7,5;458;;;;327;26;;;;26;3,25;;;;0,57;-2,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17,4;1,7;1,58;;;25,4;1016;0;10;10;19,9;17,6;25,4;189;0;1016;10;PRI;10/19/2022 14:00:00;0;0;0;1;1;1;0;0;-;-;1;1;;;;>0
20/10/2022;1a medição das folhas 20/10;16:00;0,8;10,4;7,4;;;;7,3;262;;;;340;26;;;;25,6;3,61;;;;4;0,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,7;17;1,3;1,06;;;23,7;408;0;1;10;21,7;19,9;26,7;167;0;1004;10;PRI;10/20/2022 16:00:00;0;0;0,2;1;1;1;1;0;-;-;1;1;;;;>0
