Código,Categoria,ANO,MÊS,MATRÍCULA,DATA DE LEITURA,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,ECON.RESIDENCIAL (unidade),ECON. COMERCIAL (unidade),ECON. INDUSTRIAL (unidade),ECON. PÚBLICA (unidade),Total de Economias,Leitura Anterior ,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/JUROS (R$),VALOR (R$),Verificação,Diferença
H001 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297094.0,2018-02-20,A16S366817,H001,CASAN,Florianópolis,Almoxarifado,,,,1.0,1,510.0,540.0,30.0,30.0,Lido,,268.93,,-25.42,,,243.51,243.51,0
H002 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297116.0,2018-02-20,A04S381708,H002,CASAN,Florianópolis,Patrimônio e oficinas,,,,2.0,2,4468.0,4544.0,76.0,76.0,Lido,,703.19,,-66.45,,,636.74,636.74,0
H003 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297124.0,2018-02-20,C11C010369,H003,CASAN,Florianópolis,Biotério Central,,,,1.0,1,10527.0,10863.0,336.0,336.0,Lido,,3430.83,,-324.21,,,3106.62,3106.62,0
H004 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297086.0,2018-02-20,Y11C059545,H004,CASAN,Florianópolis,Almoxarifado Central,,,,1.0,1,2861.0,2948.0,87.0,87.0,Lido,,857.91,,-81.08,,,776.83,776.8299999999999,0
H005 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297078.0,2018-02-20,B10C010667,H005,CASAN,Florianópolis,Engenharia Química,,,,1.0,1,12378.0,12897.0,519.0,519.0,Lido,,5321.77,,-502.9,,,4818.87,4818.870000000001,0
H006 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9185569.0,2018-02-20,A11C032611,H006,CASAN,Florianópolis,Eng. Civil Bloco T,,,,1.0,1,2865.0,2865.0,0.0,10.0,Mínimo,,62.27,,-5.88,,,56.39,56.39,0
H007 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,9185550.0,2018-02-20,A11C047521,H007,CASAN,Florianópolis,Eng. Civil Bloco V,,,,1.0,1,4185.0,4206.0,21.0,21.0,Lido,,175.93,,-16.62,,,159.31,159.31,0
H008 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297159.0,2018-02-20,C11C010187,H008,CASAN,Florianópolis,Prefeitura e Restaurante,,,,1.0,1,11766.0,12099.0,333.0,333.0,Lido,,3399.83,,-321.28,,,3078.55,3078.55,0
H009 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297140.0,2018-02-20,Y11C052787,H009,CASAN,Florianópolis,Prefeitura Universitária,,,,1.0,1,2508.0,2511.0,3.0,10.0,Informado,,62.27,,-5.88,,,56.39,56.39,0
H010 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2297132.0,2018-02-20,C11C010472,H010,CASAN,Florianópolis,ETUSC,,,,1.0,1,573.0,603.0,30.0,30.0,Lido,,268.93,,-25.42,,,243.51,243.51,0
H011 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,8149615.0,2018-02-20,C11C005249,H011,CASAN,Florianópolis,CCB MIP 1,,,,1.0,1,18625.0,19745.0,1120.0,1120.0,Lido,,11531.9,,-1089.77,,,10442.13,10442.13,0
H014 2018 Fevereiro,Medidor faturado pela UFSC,2018,Fevereiro,2296969.0,2018-02-23,J15AA00002,H014,CASAN,Florianópolis,Hospital Universitário,,6.0,1.0,51.0,58,369281.0,380865.0,11584.0,11584.0,Lido,,119710.27,119710.27,-22671.5,16758.7,,233507.74,233507.74000000002,0
