Código,Categoria,ANO,MÊS,MATRÍCULA,CAMPUS,NÚMERO DO HIDRÔMETRO,NOMENCLATURA UFSC (H000),CONCESSIONÁRIA,CIDADE,CONTAS - LOCALIZAÇÃO,Público,Residencial,Comercial,Industrial,Total de Economias,Leitura Anterior,Leitura Atual,VOLUME MENSAL CONSUMIDO (m³),VOLUME MENSAL FATURADO (m³),OCORRÊNCIAS,ANORMALIDADE,ÁGUA (R$),ESGOTO (R$),DESCONTOS (R$),OUTROS (R$),MULTAS/ JUROS (R$),VALOR (R$),Verificação,Diferença
H001 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297094.0,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1.0,0.0,0.0,0.0,1.0,1239.0,1265.0,26.0,26.0,Lido,0,243.79,0.0,-23.03,0.0,0.0,220.76,220.76,0.0
H002 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297116.0,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1.0,0.0,1.0,0.0,2.0,5769.0,5834.0,65.0,65.0,Lido,0,631.46,0.0,-59.66,0.0,0.0,571.8,571.8000000000001,0.0
H003 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297124.0,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1.0,0.0,0.0,0.0,1.0,17440.0,17800.0,360.0,360.0,Lido,0,3940.54,0.0,-372.39,0.0,0.0,3568.15,3568.15,0.0
H004 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297086.0,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1.0,0.0,0.0,0.0,1.0,2659.0,2706.0,47.0,47.0,Informado,Confirmação leitura,476.22,0.0,-45.01,0.0,0.0,431.21,431.21000000000004,0.0
H005 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297078.0,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1.0,0.0,0.0,0.0,1.0,19639.0,19716.0,77.0,77.0,Lido,0,808.26,0.0,-76.38,0.0,0.0,731.88,731.88,0.0
H006 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9185569.0,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,10.0,Mínimo,0,66.7,0.0,-6.3,0.0,0.0,60.4,60.400000000000006,0.0
H007 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,9185550.0,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1.0,0.0,0.0,0.0,1.0,679.0,953.0,274.0,274.0,Informado,ALTO CONSUMO: O VOLUME FORNECIDO ULTRAPASSOU 30% A SUA MÉDIA.,2988.68,0.0,-282.44,0.0,0.0,2706.24,2706.24,0.0
H008 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297159.0,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1.0,0.0,0.0,0.0,1.0,28642.0,29687.0,1045.0,1045.0,Informado,Confirmação leitura,11522.18,0.0,-1088.84,0.0,0.0,10433.34,10433.34,0.0
H009 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297140.0,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1.0,0.0,0.0,0.0,1.0,32.0,36.0,4.0,10.0,Mínimo,0,66.7,0.0,-6.3,0.0,0.0,60.4,60.400000000000006,0.0
H010 2019 Novembro,Medidor faturado pela UFSC,2019.0,Novembro,2297132.0,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1.0,0.0,0.0,0.0,1.0,1502.0,1542.0,40.0,40.0,Lido,0,398.74,0.0,-37.68,0.0,0.0,361.06,361.06,0.0
