,CODIGO,CATEGORIA,ANO,MÊS,MATRICULA,CAMPUS,N_HIDROMETRO,COD_HIDROMETRO,CONCESSIONARIA,CIDADE,LOCAL,ECON_PUB,ECON_RES,ECON_COM,ECON_IND,ECON_TOTAL,LEIT_ANT,LEIT_ATUAL,VOLUME_FATURADO,OCORRENCIA,ANORMALIDADE,VALOR_AGUA,VALOR_ESGOTO,DESCONTOS,OUTROS,MULTAS_JUROS,VALOR_TOTAL,MES_N,Dtime
0,H001 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297094,Trindade,A16S366817,H001,CASAN,Florianópolis - Trindade,Almoxarifado e Transportes (PU 11 e 06),1,0,0,0,1,1342.0,1376,34.0,LIDO,Sem ocorrência,536.37,536.37,-101.37,0.0,0,971.37,9,2024-09-20
1,H002 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297116,Trindade,A04S381708,H002,CASAN,Florianópolis - Trindade,"Patrimônio e Digitalização (DAG08 e 06), LAMAQ (CCB20)",1,0,1,0,2,3002.0,3062,60.0,LIDO,Sem ocorrência,929.62,929.62,-175.7,0.0,0,1683.54,9,2024-09-20
2,H003 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297124,Trindade,C11C010369,H003,CASAN,Florianópolis - Trindade,Biotério Central (BIC 01 a 10),1,0,0,0,1,10860.0,10922,62.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,1037.29,1037.29,-196.05,0.0,0,1878.53,9,2024-09-20
3,H004 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297086,Trindade,B17C002619,H004,CASAN,Florianópolis - Trindade,"PU - Carpintaria e Serralheria (DAG01, 02 e 03)",1,0,0,0,1,2134.0,2312,178.0,LIDO,Sem ocorrência,3112.53,3112.53,-588.26,0.0,0,5636.8,9,2024-09-20
4,H005 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297078,Trindade,B10C010667,H005,CASAN,Florianópolis - Trindade,"Engenharia Química - (CTC 19, 20, 21, 24 e 46)",1,0,0,0,1,820.0,944,124.0,LIDO,Sem ocorrência,2146.47,2146.47,-405.68,0.0,0,3887.26,9,2024-09-20
5,H006 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9185569,Trindade,A11C032611,H006,CASAN,Florianópolis - Trindade,Eng. Civil Bloco D,1,0,0,0,1,243.0,249,6.0,LIDO,Sem ocorrência,81.53,81.53,-15.41,0.0,0,147.65,9,2024-09-20
6,H007 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,9185550,Trindade,A11C047521,H007,CASAN,Florianópolis - Trindade,"Eng. Civil Bloco A, B e C",1,0,0,0,1,6897.0,7002,105.0,LIDO,Sem ocorrência,1806.56,1806.56,-341.44,0.0,0,3271.68,9,2024-09-20
7,H008 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297159,Trindade,C11C010187,H008,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (Hid., Elé., Vidra.) e Redondo",1,0,0,0,1,2685.0,3031,346.0,LIDO,Sem ocorrência,6118.05,6118.05,-1156.3,0.0,0,11079.8,9,2024-09-20
8,H009 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297140,Trindade,Y11C052787,H009,CASAN,Florianópolis - Trindade,PU - Prefeitura Universitária (Edificação antiga da PU),1,0,0,0,1,26.0,27,1.0,LIDO,Alto Consumo,49.68,49.68,-9.39,0.0,0,89.97,9,2024-09-20
9,H010 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2297132,Trindade,C11C010472,H010,CASAN,Florianópolis - Trindade,"PU - Prefeitura Universitária (DPAE, DFO, DMPI)",1,0,0,0,1,2682.0,2708,26.0,MÉDIO,Média,393.25,393.25,-74.33,0.0,0,712.17,9,2024-09-20
10,H011 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,8149615,Trindade,C11C005249,H011,CASAN,Florianópolis - Trindade,"CCB - Blocos A, B, C e D - 1 - Córrego Grande",1,0,0,0,1,46168.0,46220,52.0,LIDO/REVISÃO,CONFIRMACAO LEITURA,858.39,858.39,-162.24,0.0,0,1554.54,9,2024-09-20
11,H014 2024 Setembro,Medidor não faturado pela UFSC,2024,Setembro,2296969,Trindade,J15AA00002,H014,CASAN,Florianópolis  HU,Hospital Universitário - EBSERH,51,0,9,1,61,217389.0,223485,6096.0,0,0,106748.43,106748.43,-20175.460000000003,0.0,0,193321.4,9,2024-09-20
12,H015 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296918,Trindade,B10C013878,H015,CASAN,Florianópolis - Trindade,Moradia Estudantil - Casa,1,0,0,0,1,212.0,212,0.0,LIDO/REVISÃO,HIDRÔMETRO RETIRADO.,43.31,43.31,-8.19,0.0,0,78.43,9,2024-09-20
13,H017 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296950,Trindade,C11C001906,H017,CASAN,Florianópolis - Trindade,CCS - Centro de Ciências da Saúde,1,0,1,0,2,8786.0,9255,469.0,LIDO/REVISÃO,Média,9099.03,9099.03,-1719.72,0.0,0,16478.34,9,2024-09-20
14,H018 2024 Setembro,Medidor faturado pela UFSC,2024,Setembro,2296640,Trindade,A13C043935,H018,CASAN,Florianópolis - Trindade,SSI - Secretaria de Assuntos Institucionais,1,0,0,0,1,301.0,333,32.0,MÉDIO,Média,500.59,500.59,-94.62,0.0,0,906.56,9,2024-09-20
